DATE,AWND,PRCP,TMAX,TMIN,RH_pct,AWND_filled,RH_pct_filled
2000-06-06,8.72,1.47,84.0,77.0,91.36,8.72,91.36
2000-06-07,11.41,0.26,87.0,78.0,85.17391304347827,11.41,85.17391304347827
2000-06-08,10.96,0.57,85.0,78.0,84.30434782608695,10.96,84.30434782608695
2000-06-09,13.65,0.11,86.0,77.0,85.16666666666667,13.65,85.16666666666667
2000-06-10,15.21,0.23,84.0,78.0,83.43478260869566,15.21,83.43478260869566
2000-06-11,17.22,0.92,83.0,76.0,86.45833333333333,17.22,86.45833333333333
2000-06-12,10.29,0.03,86.0,75.0,81.41666666666667,10.29,81.41666666666667
2000-06-13,14.76,0.32,85.0,79.0,84.6,14.76,84.6
2000-06-14,12.3,0.11,85.0,79.0,80.1304347826087,12.3,80.1304347826087
2000-06-15,11.63,0.08,85.0,78.0,74.69565217391305,11.63,74.69565217391305
2000-06-16,17.0,0.06,86.0,79.0,81.78260869565217,17.0,81.78260869565217
2000-06-17,19.24,0.0,86.0,80.0,76.95454545454545,19.24,76.95454545454545
2000-06-18,13.42,0.0,87.0,80.0,75.82608695652173,13.42,75.82608695652173
2000-06-19,18.34,0.06,86.0,77.0,77.4090909090909,18.34,77.4090909090909
2000-06-20,21.92,0.0,84.0,82.0,71.41666666666667,21.92,71.41666666666667
2000-06-21,13.87,0.38,84.0,76.0,84.625,13.87,84.625
2000-06-22,2.91,0.12,84.0,75.0,89.23809523809524,2.91,89.23809523809524
2000-06-23,11.41,0.21,85.0,76.0,88.3913043478261,11.41,88.3913043478261
2000-06-24,19.01,1.03,81.0,76.0,93.125,19.01,93.125
2000-06-25,23.71,0.16,83.0,77.0,87.54166666666667,23.71,87.54166666666667
2000-06-26,22.15,0.0,84.0,78.0,80.25,22.15,80.25
2000-06-27,19.91,0.0,86.0,77.0,86.45833333333333,19.91,86.45833333333333
2000-06-28,9.84,1.02,86.0,75.0,90.875,9.84,90.875
2000-06-29,4.92,0.51,87.0,76.0,91.75,4.92,91.75
2000-06-30,2.68,0.03,85.0,73.0,94.04166666666667,2.68,94.04166666666667
2000-07-01,6.71,0.02,85.0,74.0,91.83333333333333,6.71,91.83333333333333
2000-07-02,6.93,0.0,85.0,75.0,84.95652173913044,6.93,84.95652173913044
2000-07-03,11.41,0.0,84.0,77.0,84.04166666666667,11.41,84.04166666666667
2000-07-04,10.07,0.0,85.0,70.0,86.25,10.07,86.25
2000-07-05,12.75,0.0,85.0,78.0,83.33333333333333,12.75,83.33333333333333
2000-07-06,14.99,2.51,83.0,74.0,93.66666666666667,14.99,93.66666666666667
2000-07-07,12.75,0.0,89.0,75.0,90.58333333333333,12.75,90.58333333333333
2000-07-08,8.5,0.0,89.0,74.0,89.29166666666667,8.5,89.29166666666667
2000-07-09,5.59,0.0,84.0,73.0,89.25,5.59,89.25
2000-07-10,10.29,0.17,84.0,72.0,89.875,10.29,89.875
2000-07-11,17.45,0.21,82.0,75.0,87.54166666666667,17.45,87.54166666666667
2000-07-12,13.2,0.0,82.0,76.0,81.16666666666667,13.2,81.16666666666667
2000-07-13,12.3,0.0,83.0,76.0,77.66666666666667,12.3,77.66666666666667
2000-07-14,11.41,0.0,84.0,73.0,75.08333333333333,11.41,75.08333333333333
2000-07-15,5.14,0.0,85.0,71.0,85.5,5.14,85.5
2000-07-16,6.71,0.0,89.0,72.0,87.125,6.71,87.125
2000-07-17,8.72,0.0,85.0,73.0,88.08333333333333,8.72,88.08333333333333
2000-07-18,16.78,0.0,86.0,79.0,86.70833333333333,16.78,86.70833333333333
2000-07-19,19.01,0.04,84.0,79.0,89.04166666666667,19.01,89.04166666666667
2000-07-20,14.76,0.0,86.0,79.0,86.45833333333333,14.76,86.45833333333333
2000-07-21,8.5,0.0,84.0,74.0,89.1304347826087,8.5,89.1304347826087
2000-07-22,12.53,0.12,85.0,78.0,89.17391304347827,12.53,89.17391304347827
2000-07-23,15.66,0.0,84.0,76.0,89.78260869565217,15.66,89.78260869565217
2000-07-24,10.07,0.07,84.0,76.0,87.8695652173913,10.07,87.8695652173913
2000-07-25,7.16,0.02,88.0,74.0,84.0,7.16,84.0
2000-07-26,25.95,0.02,80.0,77.0,81.04166666666667,25.95,81.04166666666667
2000-07-27,25.05,0.09,83.0,75.0,75.58333333333333,25.05,75.58333333333333
2000-07-28,24.83,0.01,85.0,79.0,65.3913043478261,24.83,65.3913043478261
2000-07-29,22.37,0.0,85.0,79.0,59.166666666666664,22.37,59.166666666666664
2000-07-30,15.88,0.0,85.0,76.0,65.69565217391305,15.88,65.69565217391305
2000-07-31,12.97,0.06,86.0,73.0,73.3913043478261,12.97,73.3913043478261
2000-08-01,7.83,0.06,87.0,75.0,81.75,7.83,81.75
2000-08-02,7.83,0.0,86.0,71.0,79.17391304347827,7.83,79.17391304347827
2000-08-03,6.93,0.0,86.0,70.0,80.70833333333333,6.93,80.70833333333333
2000-08-04,9.62,0.01,88.0,77.0,81.20833333333333,9.62,81.20833333333333
2000-08-05,9.62,0.01,87.0,75.0,86.25,9.62,86.25
2000-08-06,13.87,0.0,87.0,81.0,81.8695652173913,13.87,81.8695652173913
2000-08-07,15.88,0.05,87.0,80.0,81.375,15.88,81.375
2000-08-08,13.65,0.0,87.0,80.0,73.43478260869566,13.65,73.43478260869566
2000-08-09,12.08,0.0,87.0,80.0,77.29166666666667,12.08,77.29166666666667
2000-08-10,11.41,0.0,87.0,80.0,79.6086956521739,11.41,79.6086956521739
2000-08-11,9.62,0.22,86.0,78.0,85.22727272727273,9.62,85.22727272727273
2000-08-12,6.49,0.19,87.0,76.0,88.26086956521739,6.49,88.26086956521739
2000-08-13,16.11,0.16,86.0,79.0,84.22727272727273,16.11,84.22727272727273
2000-08-14,16.11,0.41,85.0,78.0,86.4090909090909,16.11,86.4090909090909
2000-08-15,12.53,0.21,82.0,77.0,88.20833333333333,12.53,88.20833333333333
2000-08-16,17.67,0.53,84.0,76.0,88.3913043478261,17.67,88.3913043478261
2000-08-17,10.74,0.26,85.0,75.0,88.95454545454545,10.74,88.95454545454545
2000-08-18,9.84,0.0,86.0,75.0,77.73913043478261,9.84,77.73913043478261
